Bibliotek|Alternativt biblioteksnamn|Sigel|Bibliotekstyp|Gatuadress|Postnummer|Ort|Besöksadress|Latitud|Longitud|Län|Kommunkod|Telefonnummer|E-post|Webbadress|Geocode
Høgskolen i Narvik||5Hin||Postboks 364|N-8505|Narvik|Lodve Langers gt 2|0|0|||4776966305|bib-grp@hin.no|http://www.hin.no/hovedside/omhin/bibliotek/default.asp|Lodve Langers gt 2, N-8505, Narvik, Norway
Röhsska konstmuseum||Mmus|musbib|Box 53178|400 14|Göteborg||0|0|O|1480|031613880|agnetta.toll@designmuseum.se|http://|Röhsska konstmuseum, 400 14, Göteborg, Sweden
Kulturens bibliotek||Lkul|musbib|Box 1095|221 04|Lund|Tegnérsplatsen (Kulturens ingång) 223 50 Lund|55.704759|13.19582|LM|1281|046350422|anders.jansson@kulturen.com|http://www.kulturen.com|Tegnérsplatsen (Kulturens ingång) 223 50 Lund, 221 04, Lund, Sweden
Orsa församling||Orsf|ovrbib|Kaplansgatan 14|794 30|Orsa||0|0|W|2034|025040163|orsa.forsamling@svenskakyrkan.se|http://|Kaplansgatan 14, 794 30, Orsa, Sweden
Apotekarsocieteten||Apot|specbib|Box 1136|111 81|Stockholm||0|0|AB|0180|087235000|gunnel.wallin@swepharm.se|http://|Apotekarsocieteten, 111 81, Stockholm, Sweden
Länsmuseet i Varberg||Lmva||Fästningen|434 44|Varberg||0|0|N|1383|034082834|eva.berntsson@lansmuseum.varber.se|http://|Fästningen, 434 44, Varberg, Sweden
Riksarkivet||Laos|specbib|Arkivvägen 1|831 31|Östersund|Arkivvägen 1|63.1863058|14.6357996|Z|0180|0104768900|cristina.agdler@riksarkivet.se||Arkivvägen 1, 831 31, Östersund, Sweden
Kronoby Kommunbibliotek||3Kkb||Kyrkvägen 6|68500|Kronoby|Kyrkvägen 6|0|0|||35868343445|bibl.kronoby@kronoby.fi|http://www.fredrika.net/kronoby/|Kyrkvägen 6, 68500, Kronoby, Finland
Biblioteket vid Stockholms konstnärliga högskola, Dans- och cirkushögskolan||Dah|univbib|Brinellvägen 58|114 28|Stockholm|Brinellvägen 58|59.353217|18.066569|AB|0180|08-494 00 269|asa.teglund@uniarts.se|http://www.uniarts.se/bibliotek/biblioteket_doch|Brinellvägen 58, 114 28, Stockholm, Sweden
Skolbibliotekscentralen||Ksbc|ovrbib|Norretullsvägen 5|291 32|Kristianstad||0|0|LM|1290|044136040|sbc@utb.kristianstad.se|http://www.kristianstad.se/sbc|Norretullsvägen 5, 291 32, Kristianstad, Sweden
Forsvarsmuseet||5Fmu||Oslo Mil/Akershus|N-0015|Oslo|Bygning 62|0|0|||4723093318|kontakt.biblioteket.fmu@mil.no|http://www.mil.no/felles/fmu/start/bibliotek/|Bygning 62, N-0015, Oslo, Norway
Norrbottens museum||Nbmu|muslan|Box 266|971 08|Luleå|Höstvägen 7, Luleå|65.614448|22.171188|BD|2580|0920243551|helena.karlstrom@nll.se|http://www.norrbottensmuseum.se/arkiv-samlingar/bibliotek.aspx|Höstvägen 7, Luleå, 971 08, Luleå, Sweden
Forsvarets overkommando||5Fbo||Postboks 193\nAlnarbu bedriftssenter|0614|Oslo|Lutvannsveien 60|0|0|||4723094651|lib@pax.priv.no|http://|Lutvannsveien 60, 0614, Oslo, Norway
Kuntoutussäätiön kirjasto||3Kun||Pb 39|00411|Helsinki|Bagarstugevägen|0|0|||358895304303|kirsi.vierula@kuntoutussaatio.fi|http://www.kuntoutussaatio.fi/|Bagarstugevägen, 00411, Helsinki, Finland
Birkeröd bibliotek||2Bir||Stationsvej 38|3460|Birkerod|Stationsvej 38|0|0|||45990300|birbib@birkerod.bibnet.dk|http://www.birkerod.bibnet.dk/|Stationsvej 38, 3460, Birkerod, Denmark
Struer Bibliotek||2Str||Smedegade 1|7600|Struer|Smedegade 1|0|0|||4596848500|bibliotek@struer.dk|http://www.struerbibliotek.dk/|Smedegade 1, 7600, Struer, Denmark
Åva gymnasium||Ava|gymbib|Box 1450|183 14|Täby|Åva skolgränd 1-3, 184 34 Täby|59.440072|18.0631086|AB|0160|0855558017|biblioteket.ava@taby.se||Åva skolgränd 1-3, 184 34 Täby, 183 14, Täby, Sweden
Sykehuset i Vestfold HF||5Vsb||Postboks 2168 Postterminalen|3103|Tønsberg|Halfdan Wilhelmsens Allé 17|0|0|||4733342138|biblioteket@siv.no|http://www.siv.no/webpro/portal/fagfolk/index.htm|Halfdan Wilhelmsens Allé 17, 3103, Tønsberg, Norway
Sätergläntan||Satb|specbib|Knippbodarna 119|793 41|Insjön||0|0|W||024741045|bibliotek@saterglantan.se|http://www.saterglantan.se/|Knippbodarna 119, 793 41, Insjön, Sweden
Universitetsbiblioteket i Bergen||5Ups||Postboks 7808|5020|Bergen|Christiesgate 12|0|0|||+4755588613|Anne.Belsvik@ub.uib.no|http://www.uib.no/ub/puh|Christiesgate 12, 5020, Bergen, Norway
Limfjordsbibliotekerne||2Lem||Skolegade 3|7620|Lemvig|Skolegade 3|0|0|||4596631500|bibliotek@limfjordsbibliotekerne.dk|http://www.limfjordsbibliotekerne.dk|Skolegade 3, 7620, Lemvig, Denmark
Kolding Pædagogseminarium||2Kpb||Dyrehavevej 116|6000|Kolding||0|0|||4576307937|anne.joergensen@koldingsem.dk|http://www.koldingsem.dk|Dyrehavevej 116, 6000, Kolding, Denmark
Högskolen i Oslo||5Hio||Postboks 4St. Olavs plass|N-0130|Oslo|Pilestredet P48|0|0|||4722452067|lsb-p48-fjernlaan@hioa.no|http://www.hio.no/content/view/full/2082|Pilestredet P48, N-0130, Oslo, Norway
FPA Forskningsavdelningen Informatíonstjänsten||3Kat||Peltolavägen 3|20720|Åbo||0|0|||358204346281|carita.bjorn@kela.fi|http://www.kela.fi/in/internet/svenska.nsf|Peltolavägen 3, 20720, Åbo, Finland
Larvik Bibliotek||5Lar||PB. 2001 Stubberöd|3255|Larvik|Nansegata 29|0|0|||4733171050|larbib@larbib.no|http://www.larvik.folkebibl.no/|Nansegata 29, 3255, Larvik, Norway
Sande bibliotek||5Sae||Pb. 300|N-3071|Sande|Revåveien 20|0|0|||4733787455|sande.bibliotek@sande-ve.kommune.no|http://www.sande-ve.kommune.no|Revåveien 20, N-3071, Sande, Norway
Skive Bibliotek||2Ski||Østergade 25|7800|Skive||0|0|||4599157000|skivebibliotek@skivekommune.dk|http://www.biblioteket.skivekommune.dk|Østergade 25, 7800, Skive, Denmark
Tuve bibliotek||Tuve|folkbib|Box 10064|400 70|Göteborg|Tuve Torg 5|57.7555475|11.9268528|O|1480|0313668050|tuve.bibliotek@norrahisingen.goteborg.se|http://goteborg.se/wps/portal/invanare/bibliotek/bibliotekens-sidor/tuvebibliotek/!ut/p/b1/04_Sj9Q1tLC0NDMysjQx1Y_Qj8pLLMtMTyzJzM9LzAHxo8ziQw0NAi2cDB0N_P0NXQ08vTzMgl2CjQ0sfM30c6McFQECAsnl/|Tuve Torg 5, 400 70, Göteborg, Sweden
Utbildningsförvaltningen||Cwi|gymbib||371 83|Karlskrona|Ö Köpmansgatan 10 |0|0|K|1080|0455304119|biblioteket.psilander@karlskrona.se|http://www.karlskrona.se/sv/BarnochUtbildning/Gymnasieskola/Gymnasiebiblioteken/|Ö Köpmansgatan 10 , 371 83, Karlskrona, Sweden
Fiskeridirektoratet||5Fib||Postboks 185 Sentrum|5804|Bergen|Nordnesgaten 50|0|0|||4755236885|biblioteket@imr.no|http://biblioteket.imr.no/|Nordnesgaten 50, 5804, Bergen, Norway
Keuruu stadsbiblioteket||3Keu||PL 81|FI-42700|Keuruu|Pitäjäntuvantie 5|0|0|||358147517170|kirjasto@keuruu.fi|http://www.keuruu.fi/kaupunki/kirjasto/|Pitäjäntuvantie 5, FI-42700, Keuruu, Finland
SSAB Tunnplåt AB||Uql|busbib|93 U Litteraturtjänst|781 84|Borlänge||0|0|W|2081|024371098|cecilia.behning@ssab.com|http://www.ssabtunnplat.com/|93 U Litteraturtjänst, 781 84, Borlänge, Sweden
Fyrisskolan||Fyr|skolbib|Uppsala kommun\nFyrisskolan|753 75|Uppsala|Götgatan 17-21|59.8652837|17.6274893|C|0380|018277720|biblioteket@fyrisskolan.uppsala.se|http://www.fyrisskolan.uppsala.se/bibliotek|Götgatan 17-21, 753 75, Uppsala, Sweden
Bara bibliotek||Bara|folkbib|Box 63|230 40|Bara|Torggatan 24 B|55.5776512|13.1774177|LM|1263|040446003|biblioteket.bara@svedala.se|http://www.svedala.se/|Torggatan 24 B, 230 40, Bara, Sweden
Orminge bibliotek||Orm|folkbib|Ormingeplan 3|132 30|Saltsjö-Boo||59.3267342|18.2571031|AB|0182|087188703|bibl.orminge@nacka.se|http://www.nacka.se/bibliotek|Ormingeplan 3, 132 30, Saltsjö-Boo, Sweden
Knut Hahnsskolans bibliotek||Rkh|skolbib|Blasius Köningsgatan 27|372 35|Ronneby||0|0|K|1081|0457618372|khbibl@bibliotek.ronneby.se|http://www.utb.ronneby.se/gyv/biblio/blogger|Blasius Köningsgatan 27, 372 35, Ronneby, Sweden
Söderbymalmsskolan||Sbm|skolbib|Eskilsvägen 8|136 43|Haninge||59.167436|18.1493496|AB|0136|086067416|frida.leijon.lundqvist@haninge.se|http://www.soderbymalmsskolan.haninge.se/|Eskilsvägen 8, 136 43, Haninge, Sweden
Klågerups bibliotek||Kla|folkbib|Stensminnnevägen 2|23375|Klågerup||55.5912176|13.2434876|LM|1263|0406410908|biblioteket.klagerup@svedala.se|http://svedala.se/skolbibliotek|Stensminnnevägen 2, 23375, Klågerup, Sweden
Regionplane kontoret||Rtkb|specbib|Box 4414|102 69|Stockholm|Västgötagatan 2|0|0|AB|0180|087373992|biblioteket@regionplanekontoret.sll.se|http://www.regionplanekontoret.sll.se/|Västgötagatan 2, 102 69, Stockholm, Sweden
Dansk Institut for Internationale Studier|DIIS Biblioteket|2Dim||Gl. Kalkbrænderi Vej 51A|2100 |København Ø.|Gl. Kalkbrænderi Vej 51A|0|0|||+45 3269 8787|bibliotek@diis.dk|http://www.diis.dk/en/diis/kommunikation/library|Gl. Kalkbrænderi Vej 51A, 2100 , København Ø., Denmark
Deanu Girjerajus/Tana bibliotek||5Gir||Postboks 125|9846|Tana|Miljøbygget|0|0|||4778925366|skranke.bibliotek@tana.kommune.no|http://|Miljøbygget, 9846, Tana, Norway
Posio bibliotek||3Pos||Suopolku 1|979 00|Posio||0|0|||358163205234|kirjasto@posio.fi|http://www.posio.fi/kirjasto|Suopolku 1, 979 00, Posio, Finland
Högskolan i Buskerud, Ringerike||5Hbr||Postboks 164 Sentrum|N-3502|Hønefoss|Bredalsvn. 14, 3511 Hønefoss|0|0|||4732117120|honebibliotek@hibu.no|http://www.hibu.no|Bredalsvn. 14, 3511 Hønefoss, N-3502, Hønefoss, Norway
Larsmo Kommun||3Lkb||Norra Larsmovägen 60|685 70|Larsmo|Norra Larsmovägen 60|0|0|||35867857266|bibl.larsmo@larsmo.fi|http://www.fredrika.net/larsmo/|Norra Larsmovägen 60, 685 70, Larsmo, Finland
OMH Business School||5Omh||Postboks 5854 Majorstua|0308|Oslo|Pilestredet 46|0|0|||4722596229|moecat@nks.no|http://www.bli.no/biblioteket/|Pilestredet 46, 0308, Oslo, Norway
Blackebergs gymnasium||Blgb|gymbib|Wergelandsgatan 22|164 48|Bromma|Wergelandsgatan 22|59.3490698|17.8860745|AB|0180|0850838611|einar.spetz@stockholm.se|http://www.blackebergsgymnasium.com/|Wergelandsgatan 22, 164 48, Bromma, Sweden
VIA University College, Campus Holstebro||2Syh||Gl. Struervej 1|7500|Holsterbro|Gl. Struervej 1|0|0|||4587551668|bibholstebro@viauc.dk|http://www.viauc.dk|Gl. Struervej 1, 7500, Holsterbro, Denmark
Västra Frölunda bibliotek||Vfb|folkbib|Box 73|421 21|Västra Frölunda|Valthornsgatan|57.6543601|11.9086671|O|1480|0313662858||http://www.frolunda-kulturhus.goteborg.se|Valthornsgatan, 421 21, Västra Frölunda, Sweden
Sysslebäcks bibliotek||Syb|folkbib|Torsby kommun\n202 Sysslebäcks bibliotek|680 60|Sysslebäck|Villavägen 4|60.7303271|12.8719481|S|1737|056016644|sysslebacks.bibliotek@torsby.se|http://www.torsby.se|Villavägen 4, 680 60, Sysslebäck, Sweden
ForshagaAkademins bibliotek||Fha|gymbib|Industrileden 5b|667 32|Forshaga||0|0|S|1763|054536116|biblioteket@forshagaakademin.se|http://www.forshagaakademin.se/|Industrileden 5b, 667 32, Forshaga, Sweden
Åbo stadsbibliotek||3Tm||Slottsgatan 2|201 00|Åbo||0|0|||35822620661|kaukopalvelu@turku.fi|http://www.turku.fi/kirjasto|Slottsgatan 2, 201 00, Åbo, Finland
Pori Public Library||3Pkm||PL 200|FI-28101|Pori|Gallen-Kallelankatu 12|0|0|||35826215846|kaukolainat@pori.fi|http://www.pori.fi/kirjasto/English/|Gallen-Kallelankatu 12, FI-28101, Pori, Finland
Medisinsk bibliotek||5Aku||Postboks 4959 Nydalen|0424|Oslo||0|0|||4722894727|biblioteket@aker-sykehus.no|www.aus.no/medbibl|Postboks 4959 Nydalen, 0424, Oslo, Norway
Härmänmaan ammatti-instituutin kirjasto||3Hai||Vesipalontie 2|62100|Lapua||0|0|||35864335227|kirjasto@hami.fi|http://www.hami.fi/kirjasto/index.htm|Vesipalontie 2, 62100, Lapua, Finland
Kromann Reumert||2Kro||Sundkrogsgade 5|2100|Köpenhamn Ö|Sundkrogsgade 5|0|0|||4570121211|uhe@kromannreumert.com|http://www.kromannreumert.com|Sundkrogsgade 5, 2100, Köpenhamn Ö, Denmark
Flemingsbergs bibliotek||Flem|folkbib|Box 4074|141 04|Huddinge|Röntgenvägen 17|59.2233349|17.9395282|AB|0126|0853533722|flemingsbergs.bibliotek@huddinge.se|http://bibliotek.huddinge.se/web/arena|Röntgenvägen 17, 141 04, Huddinge, Sweden
Arla Foods||2Arl||Skanderborgvej 277|8260|Viby J||0|0|||4587332820||http://www.arlafoods.dk/|Skanderborgvej 277, 8260, Viby J, Denmark
Markstridsskolan Skövde / Kvarn||Mass|skolbib|Box 625|541 29|Skövde|Skövde Garnison|0|0|O|1496|0500465000|stina.odeen@mil.se|http://www.mss.mil.se|Skövde Garnison, 541 29, Skövde, Sweden
Nykarleby stadsbibliotek||3Nkb||PB 13|66901|Nykarleby|Topeliusesplananden 7|0|0|||35867856102|liselotte.harjulin@nykarleby.fi|http://|Topeliusesplananden 7, 66901, Nykarleby, Finland
Tabergs bibliotek||Tab|folkbib|Centrumplan 6|562 42|Taberg||57.6790351|14.0895787|F|0680|036103855|tabergsbibliotek@jonkoping.se|http://lingonline.jonkoping.se/taberg.htm|Centrumplan 6, 562 42, Taberg, Sweden
Korsholms bibliotek||3Khl||Skolvägen 1|65610|Korsholm||0|0|||35863277270|biblioteket@korsholm.fi|http://www.korsholm.fi|Skolvägen 1, 65610, Korsholm, Finland
DR ARC Bibliotek||2Drd||DR Byen\nEmil Holms Kanal 20|0999|København C||0|0|||4535203818|drbibliotek@dr.dk||DR Byen\nEmil Holms Kanal 20, 0999, København C, Denmark
Högskolan i Bergen||5Hib||Landåssvingen 15|5096|Bergen||0|0|||4755585717|kero@hib.no|http://|Landåssvingen 15, 5096, Bergen, Norway
Statped bibliotek||5Slk||Gimlemoen 19|4603|Kristiansand|Gimlemoen 19|0|0|||4738058300|sks.bib@statped.no|http://www.statped.no/sorlandet/bibliotek/|Gimlemoen 19, 4603, Kristiansand, Norway
Stadsbiblioteket i Kristinestad||3Sik||Salutorget 1|64100|Kristinestad||0|0|||35862216279|leena.eranen@krs.fi|http://www.fredrika.net/kristinestad_pre.htm|Salutorget 1, 64100, Kristinestad, Finland
Mediatek Bastionen på Söderslättsgymnasiet||Bask|gymbib|Bruksgatan 13|231 64|Trelleborg||55.3783279|13.1483499|LM|1287|0410733375|maud.harriman@trelleborg.se|http://www.soderslattsgymnasiet.se/|Bruksgatan 13, 231 64, Trelleborg, Sweden
Grästed||2Ggk||Vesterbrogade 56|3250|Gilleleje||0|0|||48300168|bib@ggk.dk|http://www.ggk.dk|Vesterbrogade 56, 3250, Gilleleje, Denmark
Finnmark fylkesbibliotek||5Fih||Boks 309|9600|Hammerfest|Sjøgt. 4|0|0|||4778407170|fjernlaan@ffk.no|http://www.fm.fylkesbibl.no|Sjøgt. 4, 9600, Hammerfest, Norway
Lunds universitets bibliotek||Lkhm|univbib|Box 4035|203 11|Malmö|Föreningsgatan 42|55.600319|13.013549|LM|1281|04025722|madeleine.bergquist@khm.lu.se|http://www.khm.lu.se/|Föreningsgatan 42, 203 11, Malmö, Sweden
Høgskolen i Bergen||5Hbl||Postboks 7030|5020|Bergen||0|0|||4755585717|bibskranke@hib.no|http://www.hib.no/biblioteket/al/default.asp|Postboks 7030, 5020, Bergen, Norway
Brøndby Bibliotek||2Bb||Brøndbyøster Boulevard 22|2605|Brøndby||0|0|||43282000|bibvo@brondby.dk|http://www.brondby-bibliotekerne.dk|Brøndbyøster Boulevard 22, 2605, Brøndby, Denmark
Bildningscentrum Prins Wilhelm||Bcpw|skolbib|Biblioteket Prins WilhelmgymnasietDrottninggatan 16|642 81|Flen||59.0588|16.5827|D|0482|015719513|bcpwbibliotek@flen.se|http://www.edu.flen.se/bildningscentrum/|Biblioteket Prins WilhelmgymnasietDrottninggatan 16, 642 81, Flen, Sweden
Høgskolen i Molde||5Hsm||Postboks 2110|6402|Molde|Britvegen 2|0|0|||4771214161|biblioteket@himolde.no|http://www.himolde.no/biblioteket|Britvegen 2, 6402, Molde, Norway
Väskolans bibliotek||Sgva|skolbib|Folkvandringen 1|291 65|Kristianstad||56.000658|14.0805354||1290|044134119|anna.johansson2@utb.kristianstad.se|http://www.buf.kristianstad.se/vaskolan/bibliotek/|Folkvandringen 1, 291 65, Kristianstad, Sweden
Alströmergymnasiets bibliotek||Als|skolbib|Rektorsgatan 13|441 81|Alingsås||0|0|O|1489|0322616513|ingegerd.sundberg@alingsas.se|http://www.school.alingsas.se/alstromer/index.html|Rektorsgatan 13, 441 81, Alingsås, Sweden
Suså Bibliotek||2Sub||Torvet 1|4171|Glumsö||0|0|||4557690291|susbib@susaa.dk|http://www.susaa-bibliotek.dk|Torvet 1, 4171, Glumsö, Denmark
Norsk rikskringkasting|NRK Researchsenteret|5Nrk||RC21|0340|Oslo|Bjørnstjerne Bjørnsons plass 1|0|0|||4723044050|research@nrk.no|http://www.nrk.no/|Bjørnstjerne Bjørnsons plass 1, 0340, Oslo, Norway
Kungliga Tekniska högskolan||Tct|univbib|Mariekällgatan 3|151 81|Södertälje||59.188728|17.626256|AB|0180|087909565|bibliotek-telge@kth.se|http://www.kth.se/kthb/|Mariekällgatan 3, 151 81, Södertälje, Sweden
Sannarpsgymnasiets bibliotek||Snb|gymbib|Frennarpsvägen|302 44|Halmstad||56.6837456|12.8875902|N|1380|035137690|snbibl@halmstad.se|http://www.halmstad.se/sannarpsgymnasiet|Frennarpsvägen, 302 44, Halmstad, Sweden
Ballerup Bibliotek||2Bal||Banegårdspladsen 1|2750|Ballerup||0|0|||44773333|balvoksen@balk.dk|http://www.ballerupbibliotekerne.dk|Banegårdspladsen 1, 2750, Ballerup, Denmark
Högskolen i Oslo Læringssentreret||5Hip||Postboks 4, St. Olavs plass|0130|Oslo|Pilestredet Park 35|0|0|||4722453450|ls-pp@hio.no|http://www.hio.no/content/view/full/2082|Pilestredet Park 35, 0130, Oslo, Norway
Søfartens Bibliotek||2Knu||Blegdamsvej 114|2100|København Ø||0|0|||4535422610|sbib@sbib.dk|http://www.sbib.dk|Blegdamsvej 114, 2100, København Ø, Denmark
Karolinska Universitetssjukhuset Huddinge||Kshu|sjukbib|C2:59|141 86|Stockholm|Karolinska Universitetssjukhuset, Huddinge: C2:59|0|0|AB|0180|0858580065|biblioteket@karolinska.se|http://www.karolinska.se/biblioteket|Karolinska Universitetssjukhuset, Huddinge: C2:59, 141 86, Stockholm, Sweden
Järna bibliotek||Soj|folkbib|Storgatan 6|151 89|Södertäle|Storgatan 6, 153 30 Järna|59.0902147|17.5649224|AB|0181|0852303537|jarna.bibliotek@sodertalje.se|http://bibliotek.sodertalje.se/|Storgatan 6, 153 30 Järna, 151 89, Södertäle, Sweden
 Tritonia Allegro||3Bi||Runebergsgatan 8|68600|Jakobstad|Runebergsgatan 8|0|0|||35863247847|allegro@tritonia.fi|http://www.tritonia.fi/?d=448&l=2|Runebergsgatan 8, 68600, Jakobstad, Finland
NAKMI-Nasjonal kompetanseenhet for minoritetshelse||5Nak||Søsterhjemmet, Ullevål Universitetssykehus|0407|Oslo|Søsterhjemmet, Ullevål Universitetssykehus|0|0|||4723016068|siw-mette.hansen@nakmi.no|http://www.nakmi.no|Søsterhjemmet, Ullevål Universitetssykehus, 0407, Oslo, Norway
Folkungaskolans bibliotek||Fobi|skolbib|Folkungagatan 20|58235|Linköping||58.4103066|15.6074939|E|0580|013207691|christina.jagerback-karlsson@linkoping.se|http://www.edu.linkoping.se/folkunga/biblio.htm|Folkungagatan 20, 58235, Linköping, Sweden
Giske Folkebibliotek||5Giv||Giske rådhus|6050|Valderöya||0|0|||4770188090|biblioteket@giske.kommune.no|http://www.giske.kommune.no/bibliote.htm|Giske rådhus, 6050, Valderöya, Norway
Datalogisk Institut||2Dik||Universitetsparken 1|2100|Köpenhamn Ö|Universitetsparken 1|0|0|||4535321400|bibliotek@diku.dk|http://www.diku.dk/|Universitetsparken 1, 2100, Köpenhamn Ö, Denmark
Musik i Syd||Musy||Kanalgatan 30|291 34|Kristianstad||0|0|LM|1290|044205880|ska´ne@musikisyd.se|http://musiksyd.se|Kanalgatan 30, 291 34, Kristianstad, Sweden
De la Gardiegymnasiet||Dela|gymbib|Stenportsgatan 21|531 50|Lidköping||58.5053514|13.1505223|O|1494|0510770696|catharina.ekblad@lidkoping.se|http://www.delagardie.lidkoping.se/index.asp|Stenportsgatan 21, 531 50, Lidköping, Sweden
Djurskyddsmyndigheten||Dsms|specbib|Box 80|532 21|Skara|Peter Hernqvistgatan 10|0|0|O|1495|051127400|registrator@djurskyddsmyndigheten.se|http://www.djurskyddsmyndigheten.se/|Peter Hernqvistgatan 10, 532 21, Skara, Sweden
Polismyndigheten i Uppsala län||Bib|specbib|Box 3007|750 03|Uppsala|Blanka, Svartbäcksgatan 49|0|0|C|0380|0768369440|asa.hasth@polisen.se|http://|Blanka, Svartbäcksgatan 49, 750 03, Uppsala, Sweden
Rudbecksskolan||Ru|skolbib|Box 311 60|701 35|Örebro|Kungsgatan 31-33|0|0|T|1880|019216348|anita.buddee@orebro.se|http://www.ru.orebro.se/|Kungsgatan 31-33, 701 35, Örebro, Sweden
Stora Enso Oyj||3Sto||Research Centre|55800|Imatra||0|0|||358204623245|helena.hed@storaenso.com|http://|Research Centre, 55800, Imatra, Finland
Anna Lindh-biblioteket|Anna Lindhbiblioteket|Alb|univbib|Box 27805|115 93|Stockholm|Drottning Kristinas väg 37, 114 28 STOCKHOLM|59.349096|18.069445|AB|0180|0855342560|alb@fhs.se|https://www.fhs.se/sv/annalindhbiblioteket/|Drottning Kristinas väg 37, 114 28 STOCKHOLM, 115 93, Stockholm, Sweden
Anna Lindh-biblioteket||Alb2|univbib|Biblioteket Högkvarteret|107 86|Stockholm|Lidingövägen 24|59.34618|18.087956|AB|0180|087889012|hkv.alb@fhs.se|https://www.fhs.se/sv/annalindhbiblioteket/|Lidingövägen 24, 107 86, Stockholm, Sweden
Fredrika Bremergymnasierna||Fbg|gymbib|Dalarövägen 64|136 81|Haninge||59.167013|18.152702|AB|0136|086067788|kristina.schon@haninge.se|http://www.fredrika.se/|Dalarövägen 64, 136 81, Haninge, Sweden
Hammarkullens bibliotek||Hkbk|folkbib|Hammarkulletorget 62B|424 37|Angered||57.7800028|12.0347742|O|1480|0313652940|hammarkullens.bibliotek@angered.goteborg.se|http://goteborg.se/hammarkullensbibliotek|Hammarkulletorget 62B, 424 37, Angered, Sweden
Anonym svensk samling/institution||Sx||Kungl. biblioteket\nBox 5039|10241|Stockholm||0|0||0180|084634095|wolfgang.undorf@kb.se|http://|Kungl. biblioteket\nBox 5039, 10241, Stockholm, Sweden
Høgskolen i Oslo og Akershus||5Hoo||P.b 4  St. Olavs plass|0130|Oslo||0|0|||4722453220|lsb-p35@hioa.no|http://www.hioa.no/LSB|P.b 4  St. Olavs plass, 0130, Oslo, Norway
Haslev Folkebibliotek||2Hfb||Jernbanegade 62|4690|Haslev||0|0|||4556364300|bibliotek@haslev.dk|http://www.haslevbib.dk|Jernbanegade 62, 4690, Haslev, Denmark
Hasselbladstiftelsen, Biblioteket||Hc|specbib|Ekmansgatan 8|412 56|Göteborg|Ekmansgatan 8|57.696089|11.97914|O|1480|0317782156|em@hasselbladfoundation.org|http://www.hasselbladfoundation.org/|Ekmansgatan 8, 412 56, Göteborg, Sweden
Vallaskolans bibliotek||Valb|skolbib|Ringgatan 14|733 33|Sala|Ringgatan 14|59.9189531|16.6006134|U|1981|0224748551|annika.johnson@sala.se|http://libra.sala.se/valla/opac/default.aspx|Ringgatan 14, 733 33, Sala, Sweden
Aars Bibliotek||2Aar||Søndergade 24|9600|Aars||0|0|||96981140|psk@aarskommune.dk|http://www.aarsbibliotek.dk|Søndergade 24, 9600, Aars, Denmark
Kunstakademiets Arkitektskoles Bibliotek||2Kab||Danneskiold-Samøes Allé 50|1434|København K||0|0|||4532686800|mogens.fischer@karch.dk|http://www.kasb.dk|Danneskiold-Samøes Allé 50, 1434, København K, Denmark
DSB - Biblioteket||5Dsb||Postboks 2014|3103|Tønsberg|Rambergv 9.|0|0|||4733412642|bibliotek@dsb.no|http://www.dsb.no/bibliotek|Rambergv 9., 3103, Tønsberg, Norway
Luftkrigsskolen||5Lks||Trondheim mil, Boks 4133|7450|Trondheim||0|0|||4773995457|biblioteket@lksk.mil.no|http://biblioteket.luftkrigsskolen.no/|Trondheim mil, Boks 4133, 7450, Trondheim, Norway
Aalestrup Bibliotek||2Aab||Knabergården 4|9620|Aalestrup||0|0|||4596970575|biblioteket@aalestrup.dk|http://biblioteket.aalestrup.dk|Knabergården 4, 9620, Aalestrup, Denmark
Platengymnasiet Mediateket||Pgm|gymbib|Box 955|591 29|Motala|Smålandsgatan 2|58.5450165|15.0493717|E|0583|0141223412|mediateket.platengymnasiet@edu.motala.se|http://www.motala.se/templates/standardpage.aspx?id=2462|Smålandsgatan 2, 591 29, Motala, Sweden
Vä skola||Gvau|skolbib|Folkvandringen 1|291 65|Kristianstad||0|0|LM|1290|044134119|marit.hammarland@utb.kristianstad.se|http://|Folkvandringen 1, 291 65, Kristianstad, Sweden
Luleå stadsbibliotek||Lule|folkbib||971 79|Luleå|Skeppsbrogatan 17|65.5852965|22.1518417|BD|2580|0920-45 59 51|fjarrlan.stadsbiblioteket@lulea.se||Skeppsbrogatan 17, 971 79, Luleå, Sweden
Södra Vätterbygdens folkhögskola||Svfb|skolbib|Mångatan 10|554 39|Jönköping||0|0|F|0680||lena.stalhammar@svf.fhsk.se|http://|Mångatan 10, 554 39, Jönköping, Sweden
Sjukhusbiblioteket||Lj|sjukbib|Höglandssjukhuset|57581|Eksjö||0|0|F|0686|038135018|biblioteket.hoglandet@rjl.se|http://www.rjl.se/bibliotek|Höglandssjukhuset, 57581, Eksjö, Sweden
Astrid Lindgrens Näs||Aln|specbib|Prästgårdsgatan 24|598 36|Vimmerby|Prästgårdsgatan 24, 598 36 Vimmerby|57.674874|15.85656|H|0884|0492769400|maria.tunek@vimmerby.se|http://www.vimmerby.se/nas|Prästgårdsgatan 24, 598 36 Vimmerby, 598 36, Vimmerby, Sweden
Frederikshavn  Bibliotek||2Fhb||Parallelvej 16|9900|Frederikshavn||0|0|||96225629|arc@frederikshavn.dk|http://www.bibl.frederikshavn.dk|Parallelvej 16, 9900, Frederikshavn, Denmark
